Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
Content Writer,Phailaav - Nurturing Brands,0 to 3 Yrs,,Delhi,1,month,"['Web Content Writing Writing skills', 'Content Strategy', 'Research skills', 'Proofreading skills', 'Strong communication', 'Teamwork skills', 'SEO knowledge', 'Digital marketing principles']"
Security Officer / Senior Supervisor / Supervisor,Active India Employment Services Pvt. Ltd,3 to 7 Yrs,,Gandhidham,1,month,"['Team managementStrong leadership', 'Good communication skills', 'Knowledge of security protocols', 'Emergency handling']"
BPO hiring in Whitefield for freshers,IFB Automotive,0 to 4 Yrs,,Karnataka,1,month,"['English Kannada', 'Tamil', 'Telugu', 'Hindi']"
US Sales Executive,MINDTEL,0 to 3 Yrs,,All India,1,month,"['Communication Organization Skills', 'sales', 'customer service', 'Interpersonal Skills', 'Interpersonal Communication']"
Senior Team Leader - Insurance,SRITES INDIA PRIVATE LIMITED,2 to 6 Yrs,,Maharashtra,1,month,"['Team Leadership Insurance', 'Leadership', 'Communication']"
Housekeeping Supervisor,DFG Services,1 to 5 Yrs,,Nagpur,1,month,"['Team managementStrong leadership', 'Good communication', 'Interpersonal abilities', 'Knowledge of cleaning procedures', 'Problemsolving', 'Ability to work in a fastpaced environment']"
Assistant Project Manager (Interior Design Supervising),Asst Manager HR,2 to 6 Yrs,,Chennai,1,month,['Site Management Team Management']
Holiday Expert Internship,EaseMyTrip.com,0 to 4 Yrs,,Noida,1,month,"['B2C TOURISM', 'Travel management', 'Hospitality', 'fresher', 'HOTELS', 'TOURS', 'tRAVELS']"
Computer Operator cum Office Assistant,Anuradha Art Jewellery,0 to 3 Yrs,,Nashik,1,month,"['Data Entry Operator Computer Operator', 'Back Office Operation Executive']"
Civil Modeler/ Structural Draftsman,Accent Engineering & Design Services,1 to 5 Yrs,,Gandhinagar,1,month,"['Civil Modeler Structural Engineer', 'AutoCAD Draftman']"
Occupational safety and civil protection specialist,DTEK,5 to 9 Yrs,,Punjab,1,month,"['Python Java', 'SQL', 'HTML', 'CSS']"
Key Account Manager/TBM,Career Point Placement Services,2 to 6 Yrs,,Maharashtra,1,month,"['Science graduate Good Communication skill', 'MR']"
Sales Executive,Jasper Industries Pvt. Ltd.,1 to 5 Yrs,,Karnataka,1,month,"['Effective problem solving skills Adaptable', 'flexible', 'Able to perform multiple tasks effectively', 'Empathetic to customers', 'their problems situations', 'Communicates effectively', 'Exhibits a team attitude towards management', 'peers', 'Able to effectively negotiate', 'sell at a retail level']"
